mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_classifier__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,split14_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,split14_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,split14_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,split10_test_recall_macro,split11_test_recall_macro,split12_test_recall_macro,split13_test_recall_macro,split14_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,split1_train_recall_macro,split2_train_recall_macro,split3_train_recall_macro,split4_train_recall_macro,split5_train_recall_macro,split6_train_recall_macro,split7_train_recall_macro,split8_train_recall_macro,split9_train_recall_macro,split10_train_recall_macro,split11_train_recall_macro,split12_train_recall_macro,split13_train_recall_macro,split14_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,split5_train_f1_macro,split6_train_f1_macro,split7_train_f1_macro,split8_train_f1_macro,split9_train_f1_macro,split10_train_f1_macro,split11_train_f1_macro,split12_train_f1_macro,split13_train_f1_macro,split14_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.10475788116455079,0.030204930476527003,0.027573299407958985,0.007700956445003938,0.001,l2,lbfgs,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.5416666666666666,0.5208333333333334,0.4375,0.5416666666666666,0.5208333333333334,0.5416666666666666,0.5416666666666666,0.5,0.4583333333333333,0.5416666666666666,0.4791666666666667,0.5,0.4583333333333333,0.5625,0.5625,0.5138888888888888,0.03854010257086557,12,0.7604166666666666,0.7291666666666666,0.75,0.7916666666666666,0.7604166666666666,0.7395833333333334,0.7395833333333334,0.71875,0.75,0.7395833333333334,0.75,0.7395833333333334,0.6979166666666666,0.7708333333333334,0.7604166666666666,0.7465277777777779,0.021404215288086722,0.49583333333333335,0.5114583333333333,0.3600446428571429,0.5007440476190477,0.4583333333333333,0.4515625,0.4782738095238095,0.4661458333333333,0.4229910714285714,0.4319940476190476,0.4622023809523809,0.521875,0.4091269841269841,0.5319940476190476,0.44895833333333335,0.4634358465608466,0.044521321436074485,12,0.7589285714285714,0.7852678571428572,0.8106150793650794,0.8317708333333333,0.8296874999999999,0.8233266733266733,0.8110634157509158,0.7737847222222222,0.8120670995670995,0.775503663003663,0.8415178571428572,0.802281746031746,0.7942708333333333,0.8370670995670996,0.7724837662337662,0.8039757811632811,0.02538049564681419,0.5416666666666666,0.5208333333333333,0.4375,0.5416666666666666,0.5208333333333333,0.5416666666666666,0.5416666666666666,0.49999999999999994,0.4583333333333333,0.5416666666666666,0.47916666666666663,0.49999999999999994,0.4583333333333333,0.5625,0.5625,0.5138888888888888,0.03854010257086557,12,0.7604166666666667,0.7291666666666667,0.75,0.7916666666666667,0.7604166666666666,0.7395833333333334,0.7395833333333333,0.71875,0.75,0.7395833333333333,0.75,0.7395833333333334,0.6979166666666667,0.7708333333333333,0.7604166666666667,0.7465277777777778,0.02140421528808672,0.46354166666666663,0.4642361111111111,0.3628111471861472,0.47738095238095235,0.44613095238095235,0.46459686147186147,0.465922619047619,0.41990440115440114,0.41761363636363635,0.4694940476190476,0.4211080586080586,0.4581439393939394,0.3839285714285714,0.5059523809523809,0.48477182539682534,0.44703581141081133,0.03744179275723995,12,0.7329129204129204,0.7082454004329004,0.7367538711288711,0.7822510822510822,0.747362012987013,0.7251148608443501,0.7272255157123577,0.7027732683982684,0.7348404659066424,0.7106946781288886,0.7427024364524364,0.7222246503496503,0.6713198260073261,0.757860154551331,0.7366074489236254,0.7292592394991774,0.02477195574740533
0.25052623748779296,0.04979911491881537,0.03214483261108399,0.009495461906311837,0.1,l2,lbfgs,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7083333333333334,0.8125,0.75,0.75,0.7708333333333334,0.7291666666666666,0.7708333333333334,0.8541666666666666,0.7083333333333334,0.6875,0.6875,0.7916666666666666,0.6458333333333334,0.6666666666666666,0.75,0.7388888888888889,0.0547863414536556,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7760416666666666,0.8541666666666666,0.7354166666666666,0.765625,0.7770833333333333,0.7611607142857143,0.7822916666666666,0.8291666666666666,0.784375,0.7447916666666666,0.6833333333333333,0.8229166666666666,0.7205357142857143,0.6833333333333333,0.740625,0.7640575396825396,0.04730058024655053,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7083333333333333,0.8125,0.75,0.75,0.7708333333333333,0.7291666666666666,0.7708333333333333,0.8541666666666666,0.7083333333333333,0.6875,0.6875,0.7916666666666666,0.6458333333333333,0.6666666666666666,0.75,0.7388888888888888,0.054786341453655615,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7011904761904761,0.8154761904761905,0.7296130952380953,0.7296130952380953,0.7561011904761905,0.7151785714285714,0.7507440476190477,0.821577380952381,0.7077380952380953,0.6651785714285714,0.6584821428571428,0.7889880952380952,0.6272321428571428,0.6441964285714286,0.727827380952381,0.7226091269841268,0.05671847795080262,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2079391320546468,0.045530725635484263,0.03463867505391439,0.0070154003994551215,1.0,l2,lbfgs,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7083333333333334,0.7708333333333334,0.7708333333333334,0.75,0.8125,0.75,0.8125,0.8541666666666666,0.7291666666666666,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.6458333333333334,0.6875,0.7916666666666666,0.7499999999999999,0.05692750425533109,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.709375,0.8236607142857143,0.7916666666666666,0.7552083333333333,0.8447916666666666,0.7611607142857142,0.8614583333333333,0.8354166666666667,0.79375,0.777827380952381,0.6635416666666667,0.834375,0.721577380952381,0.7,0.7625,0.775753968253968,0.05684260118818235,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7083333333333333,0.7708333333333333,0.7708333333333333,0.75,0.8125,0.75,0.8125,0.8541666666666666,0.7291666666666666,0.7083333333333333,0.6666666666666666,0.7916666666666666,0.6458333333333333,0.6875,0.7916666666666666,0.7499999999999999,0.056927504255331114,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6834821428571429,0.7732142857142856,0.7563988095238094,0.7273809523809525,0.8090773809523809,0.7339285714285714,0.8101190476190476,0.8238095238095238,0.7269345238095238,0.6912202380952381,0.6351190476190476,0.7906249999999999,0.6264880952380951,0.6642857142857143,0.7669642857142858,0.7346031746031746,0.061370867818474284,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1630403995513916,0.04315714106043535,0.030875666936238607,0.00854734948920309,2.0,l2,lbfgs,"{'classifier__C': 2, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7708333333333334,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8333333333333334,0.75,0.7291666666666666,0.6875,0.7708333333333334,0.6458333333333334,0.6875,0.7916666666666666,0.7541666666666668,0.05057539293342535,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7302083333333333,0.8184523809523809,0.8333333333333333,0.7552083333333333,0.8447916666666666,0.7674107142857143,0.8614583333333333,0.8135416666666666,0.8072916666666666,0.7663690476190476,0.6739583333333333,0.8135416666666666,0.721577380952381,0.7,0.7625,0.7779761904761904,0.05347420079091184,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7708333333333333,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8333333333333333,0.75,0.7291666666666666,0.6875,0.7708333333333333,0.6458333333333333,0.6875,0.7916666666666666,0.7541666666666668,0.05057539293342535,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7043154761904762,0.7738095238095237,0.7873511904761905,0.7273809523809525,0.8090773809523809,0.7361607142857143,0.8101190476190476,0.8037202380952382,0.7440476190476191,0.7163690476190476,0.6517857142857142,0.7635416666666667,0.6264880952380951,0.6642857142857143,0.7669642857142858,0.7390277777777778,0.05587038240377968,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.14117778142293294,0.029712657306531658,0.03149849573771159,0.009674166302489462,3.0,l2,lbfgs,"{'classifier__C': 3, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7708333333333334,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8333333333333334,0.7291666666666666,0.75,0.7083333333333334,0.75,0.6458333333333334,0.6875,0.7916666666666666,0.7541666666666667,0.04882887730901929,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7302083333333333,0.8184523809523809,0.8333333333333333,0.7569940476190475,0.8447916666666666,0.75625,0.8614583333333333,0.8135416666666666,0.7916666666666666,0.8038690476190476,0.69375,0.7927083333333333,0.721577380952381,0.7,0.7625,0.7787400793650793,0.0505015433422046,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7708333333333333,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8333333333333333,0.7291666666666666,0.75,0.7083333333333333,0.75,0.6458333333333333,0.6875,0.7916666666666666,0.7541666666666667,0.048828877309019296,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7043154761904762,0.7738095238095237,0.7873511904761905,0.7284226190476191,0.8090773809523809,0.7313988095238095,0.8101190476190476,0.8037202380952382,0.7163690476190476,0.7373511904761905,0.6751488095238094,0.740922619047619,0.6264880952380951,0.6642857142857143,0.7669642857142858,0.7383829365079365,0.05334958659950066,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.11363298098246256,0.023242825022103134,0.026569048563639324,0.004806529167351116,4.0,l2,lbfgs,"{'classifier__C': 4, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7708333333333334,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8541666666666666,0.7083333333333334,0.75,0.6875,0.7916666666666666,0.6458333333333334,0.7083333333333334,0.7916666666666666,0.7569444444444444,0.05306936992928554,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7302083333333333,0.8184523809523809,0.8333333333333333,0.7569940476190475,0.8447916666666666,0.75625,0.8614583333333333,0.8854166666666666,0.765625,0.809077380952381,0.6833333333333333,0.840625,0.7267857142857143,0.715625,0.7625,0.7860317460317459,0.05810912803421637,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7708333333333333,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.8541666666666666,0.7083333333333333,0.75,0.6875,0.7916666666666666,0.6458333333333333,0.7083333333333333,0.7916666666666666,0.7569444444444444,0.05306936992928557,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7043154761904762,0.7738095238095237,0.7873511904761905,0.7284226190476191,0.8090773809523809,0.7313988095238095,0.8101190476190476,0.8416666666666667,0.6907738095238095,0.7367559523809524,0.6584821428571428,0.7830357142857143,0.6276785714285714,0.6821428571428572,0.7669642857142858,0.7421329365079365,0.059129494194084524,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10001508394877116,0.023948138758495826,0.026823886235555015,0.0064430006877972444,5.0,l2,lbfgs,"{'classifier__C': 5, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7708333333333334,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.875,0.7083333333333334,0.75,0.7083333333333334,0.8125,0.6458333333333334,0.7083333333333334,0.7916666666666666,0.7611111111111111,0.0553119659770552,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7260416666666667,0.8184523809523809,0.8333333333333333,0.7569940476190475,0.8447916666666666,0.75625,0.8614583333333333,0.9072916666666666,0.765625,0.7819940476190477,0.69375,0.8614583333333333,0.7267857142857143,0.715625,0.7625,0.7874900793650793,0.06115021263745487,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7708333333333333,0.7916666666666666,0.75,0.8125,0.75,0.8125,0.875,0.7083333333333333,0.75,0.7083333333333333,0.8125,0.6458333333333333,0.7083333333333333,0.7916666666666666,0.7611111111111111,0.05531196597705524,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.700595238095238,0.7738095238095237,0.7873511904761905,0.7284226190476191,0.8090773809523809,0.7313988095238095,0.8101190476190476,0.8617559523809524,0.6907738095238095,0.7377976190476191,0.6751488095238094,0.8101190476190476,0.6276785714285714,0.6821428571428572,0.7669642857142858,0.7462103174603175,0.06181767728718596,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09784347216288249,0.022229341869556413,0.026469024022420247,0.004215604886161599,6.0,l2,lbfgs,"{'classifier__C': 6, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8125,0.75,0.8333333333333334,0.8541666666666666,0.7083333333333334,0.75,0.6875,0.8333333333333334,0.6458333333333334,0.7083333333333334,0.7916666666666666,0.763888888888889,0.057768428730792826,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7145833333333332,0.8392857142857143,0.8333333333333333,0.7663690476190477,0.8447916666666666,0.75625,0.8708333333333333,0.8854166666666666,0.765625,0.8038690476190476,0.69375,0.8708333333333333,0.7247023809523809,0.715625,0.7625,0.7898511904761903,0.06189692029088847,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7916666666666666,0.7916666666666666,0.7708333333333333,0.8125,0.75,0.8333333333333333,0.8541666666666666,0.7083333333333333,0.75,0.6875,0.8333333333333333,0.6458333333333333,0.7083333333333333,0.7916666666666666,0.763888888888889,0.05776842873079284,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6989583333333333,0.7946428571428572,0.7873511904761905,0.7476190476190476,0.8090773809523809,0.7313988095238095,0.8293154761904762,0.8416666666666667,0.6907738095238095,0.7373511904761905,0.6644345238095238,0.8293154761904762,0.6279761904761905,0.6821428571428572,0.7669642857142858,0.749265873015873,0.06407449562457723,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09655224482218425,0.022518321380579246,0.025336837768554686,0.004771118902315188,7.0,l2,lbfgs,"{'classifier__C': 7, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7916666666666666,0.8125,0.7708333333333334,0.8125,0.75,0.8333333333333334,0.8541666666666666,0.7291666666666666,0.75,0.6875,0.7916666666666666,0.6458333333333334,0.7291666666666666,0.7916666666666666,0.7652777777777777,0.054041879050954776,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7145833333333332,0.8392857142857143,0.85,0.7663690476190477,0.8447916666666666,0.75625,0.8708333333333333,0.8854166666666666,0.7916666666666666,0.8038690476190476,0.6833333333333333,0.840625,0.7299107142857142,0.7989583333333333,0.7625,0.795892857142857,0.057802461667561644,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7916666666666666,0.8125,0.7708333333333333,0.8125,0.75,0.8333333333333333,0.8541666666666666,0.7291666666666666,0.75,0.6875,0.7916666666666666,0.6458333333333333,0.7291666666666666,0.7916666666666666,0.7652777777777776,0.054041879050954776,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6989583333333333,0.7946428571428572,0.8084821428571428,0.7476190476190476,0.8090773809523809,0.7313988095238095,0.8293154761904762,0.8416666666666667,0.7163690476190476,0.7373511904761905,0.6584821428571428,0.7830357142857143,0.6291666666666667,0.7217261904761905,0.7669642857142858,0.7516170634920634,0.05941969730922126,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08264002799987794,0.027633533607657884,0.025011046727498373,0.004420926494076296,8.0,l2,lbfgs,"{'classifier__C': 8, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8125,0.75,0.8125,0.8541666666666666,0.7083333333333334,0.75,0.7083333333333334,0.8125,0.6458333333333334,0.7291666666666666,0.7916666666666666,0.7638888888888888,0.05196746370519362,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7145833333333332,0.8288690476190476,0.8218749999999999,0.7663690476190477,0.8447916666666666,0.75625,0.84375,0.8854166666666666,0.765625,0.7819940476190477,0.6989583333333333,0.8614583333333333,0.7299107142857142,0.7989583333333333,0.7625,0.7907539682539682,0.053789290982397375,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7916666666666666,0.7916666666666666,0.7708333333333333,0.8125,0.75,0.8125,0.8541666666666666,0.7083333333333333,0.75,0.7083333333333333,0.8125,0.6458333333333333,0.7291666666666666,0.7916666666666666,0.7638888888888888,0.05196746370519365,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6989583333333333,0.7904761904761906,0.7857142857142857,0.7476190476190476,0.8090773809523809,0.7313988095238095,0.8095238095238095,0.8416666666666667,0.6907738095238095,0.7377976190476191,0.678125,0.8101190476190476,0.6291666666666667,0.7217261904761905,0.7669642857142858,0.7499404761904762,0.05740589262381091,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08274866739908854,0.023234804967684618,0.024669567743937176,0.004465068648237298,9.0,l2,lbfgs,"{'classifier__C': 9, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.7916666666666666,0.8125,0.7708333333333334,0.8125,0.75,0.8125,0.8125,0.7083333333333334,0.75,0.6875,0.8125,0.6458333333333334,0.7291666666666666,0.7916666666666666,0.7611111111111111,0.05095537868845595,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7145833333333332,0.8340773809523809,0.8385416666666666,0.7663690476190477,0.8447916666666666,0.75625,0.84375,0.796875,0.765625,0.7872023809523809,0.6625,0.8614583333333333,0.7299107142857142,0.7989583333333333,0.7625,0.7842261904761904,0.053872938998270864,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.7916666666666666,0.8125,0.7708333333333333,0.8125,0.75,0.8125,0.8125,0.7083333333333333,0.75,0.6875,0.8125,0.6458333333333333,0.7291666666666666,0.7916666666666666,0.7611111111111111,0.05095537868845597,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6989583333333333,0.7898809523809525,0.806845238095238,0.7476190476190476,0.8090773809523809,0.7313988095238095,0.8095238095238095,0.7818452380952381,0.6907738095238095,0.7372023809523809,0.6599702380952381,0.8101190476190476,0.6291666666666667,0.7217261904761905,0.7669642857142858,0.7460714285714285,0.05578153797820482,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06948841412862142,0.01287898250495535,0.020586188634236655,0.004879717151876855,10.0,l2,lbfgs,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7291666666666666,0.8333333333333334,0.8125,0.7708333333333334,0.8125,0.75,0.8125,0.8125,0.7083333333333334,0.75,0.6875,0.8541666666666666,0.6458333333333334,0.7291666666666666,0.8125,0.7680555555555556,0.05786851848888794,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7145833333333332,0.8705357142857143,0.8385416666666666,0.7663690476190477,0.8447916666666666,0.75625,0.84375,0.7875,0.765625,0.7819940476190477,0.6625,0.8864583333333333,0.7299107142857142,0.7989583333333333,0.7885416666666667,0.7890873015873016,0.05889210097452161,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.8333333333333333,0.8125,0.7708333333333333,0.8125,0.75,0.8125,0.8125,0.7083333333333333,0.75,0.6875,0.8541666666666666,0.6458333333333333,0.7291666666666666,0.8125,0.7680555555555555,0.05786851848888795,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6989583333333333,0.8321428571428571,0.806845238095238,0.7476190476190476,0.8090773809523809,0.7313988095238095,0.8095238095238095,0.778125,0.6907738095238095,0.7377976190476191,0.6599702380952381,0.8471726190476191,0.6291666666666667,0.7217261904761905,0.7872023809523809,0.7525,0.06253259259777451,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
